condition,seed,method,MAE,KL,n,m_sources
adversarial,7,rel_wtd_mean,0.1782655603620892,0.9141809689253353,7000,6
adversarial,7,median,0.20529753005604118,5.737407681219752,7000,6
adversarial,7,dempster_shafer,0.16927719716941655,4.00135154408731,7000,6
adversarial,7,corr_cluster,0.21918816978013575,1.2759233286650355,7000,6
adversarial,7,sugeno,0.18308313174973814,0.7218513204746718,7000,6
adversarial,101,Choquet(ours),0.14642081306420446,0.6664495030897843,7000,6
adversarial,101,naive_mean,0.16581641329217583,0.7451216996967438,7000,6
adversarial,101,rel_wtd_mean,0.14679325438719548,0.6825363978532805,7000,6
adversarial,101,median,0.16800608391405003,4.00753612629459,7000,6
adversarial,101,dempster_shafer,0.1796857701995318,8.39338685377244,7000,6
adversarial,101,corr_cluster,0.17044605821062964,0.8600071717979765,7000,6
adversarial,101,sugeno,0.143159322460825,0.5029657804057265,7000,6
adversarial,11,Choquet(ours),0.15918815627717778,0.7623447455384236,7000,6
adversarial,11,naive_mean,0.18012181271405586,0.8425363300034876,7000,6
adversarial,11,rel_wtd_mean,0.15780977275661778,0.7721423605469122,7000,6
adversarial,11,median,0.1504628591154164,2.8273557874094215,7000,6
adversarial,11,dempster_shafer,0.1716088254506563,8.25023614794362,7000,6
adversarial,11,corr_cluster,0.16567878465883432,0.8535272992115194,7000,6
adversarial,11,sugeno,0.18629963704298066,0.7130716384472524,7000,6
adversarial,23,Choquet(ours),0.15515326701794774,0.6169455775193847,7000,6
adversarial,23,naive_mean,0.15632247869329347,0.6688721905692779,7000,6
adversarial,23,rel_wtd_mean,0.15182798007800646,0.6275305632590436,7000,6
adversarial,23,median,0.1553736554065729,3.6443420346576896,7000,6
adversarial,23,dempster_shafer,0.15632519084814983,1.9928536685215097,7000,6
adversarial,23,corr_cluster,0.1713337777963773,0.8398302772344721,7000,6
adversarial,23,sugeno,0.16831481050652033,0.6039108559137034,7000,6
adversarial,47,Choquet(ours),0.1562024775600185,0.7561748039298865,7000,6
adversarial,47,naive_mean,0.1782223187832291,0.8429053717791332,7000,6
adversarial,47,rel_wtd_mean,0.15485991504352278,0.7671649706165884,7000,6
adversarial,47,median,0.15602789985231877,3.2992671720510676,7000,6
adversarial,47,dempster_shafer,0.1699118469865234,4.499826878929472,7000,6
adversarial,47,corr_cluster,0.1669462766172895,0.881496631488329,7000,6
adversarial,47,sugeno,0.17260895161235854,0.6484629401347403,7000,6
adversarial,89,Choquet(ours),0.094849482912205,0.3845845138363176,7000,6
adversarial,89,naive_mean,0.11456925084389728,0.43973597558887817,7000,6
adversarial,89,rel_wtd_mean,0.0933653370655235,0.3834514554086156,7000,6
adversarial,89,median,0.08197548313001936,1.7572371627702563,7000,6
adversarial,89,dempster_shafer,0.1648936772419266,3.016077978665555,7000,6
adversarial,89,corr_cluster,0.09941003220902027,0.40826609522908164,7000,6
adversarial,89,sugeno,0.1275559824662346,0.4166486493952433,7000,6
adversarial,137,Choquet(ours),0.13021487287934808,0.424369129352099,7000,6
adversarial,137,naive_mean,0.12909774195555862,0.42640945534521246,7000,6
adversarial,137,rel_wtd_mean,0.12622027823822565,0.4206879691234302,7000,6
adversarial,137,median,0.11750048722688781,1.325311500483028,7000,6
adversarial,137,dempster_shafer,0.17124803520376194,8.03039295348489,7000,6
adversarial,137,corr_cluster,0.13449321862051372,0.4749454342408688,7000,6
adversarial,137,sugeno,0.1477937880336727,0.4631060393434344,7000,6
adversarial,199,Choquet(ours),0.11643073073286843,0.4895233871298529,7000,6
adversarial,199,naive_mean,0.13417655710312726,0.5333097530858177,7000,6
adversarial,199,rel_wtd_mean,0.11335685927355785,0.4866153169468016,7000,6
adversarial,199,median,0.09014829392991038,1.7436789349784199,7000,6
adversarial,199,dempster_shafer,0.16209385337219817,3.2498729816365284,7000,6
adversarial,199,corr_cluster,0.11545918000657532,0.49603145242737146,7000,6
adversarial,199,sugeno,0.15151039598518054,0.5197159531644993,7000,6
adversarial,313,Choquet(ours),0.13641479512511653,0.5259441978418093,7000,6
adversarial,313,naive_mean,0.1322075688514859,0.5332373304152019,7000,6
adversarial,313,rel_wtd_mean,0.13189903913447273,0.5201923156338073,7000,6
adversarial,313,median,0.119814415536915,1.5242185055871746,7000,6
adversarial,313,dempster_shafer,0.1550735500220187,1.899509236224071,7000,6
adversarial,313,corr_cluster,0.13162476571453033,0.5685159672029461,7000,6
adversarial,313,sugeno,0.15741391613115688,0.5678205808435633,7000,6
high_noise,20260613,Choquet(ours),0.08937047349787129,0.8666138477883685,6854,5
high_noise,20260613,naive_mean,0.09857878812360177,0.9269952364588628,6854,5
high_noise,20260613,rel_wtd_mean,0.093996110860537,0.8994920398142235,6854,5
high_noise,20260613,median,0.12321614271242436,4.699127048914595,6854,5
high_noise,20260613,dempster_shafer,0.170801761104163,3.8734240954416914,6854,5
high_noise,20260613,corr_cluster,0.10700428124048958,0.9880186422198708,6854,5
high_noise,20260613,sugeno,0.08335719482127912,0.8203198121334573,6854,5
high_noise,7,Choquet(ours),0.1583716931297344,1.3470759651423039,6829,5
high_noise,7,naive_mean,0.17128232789304462,1.4832544276229238,6829,5
high_noise,7,rel_wtd_mean,0.16319557385841704,1.412190831773461,6829,5
high_noise,7,median,0.19790861232158422,7.117577377309573,6829,5
high_noise,7,dempster_shafer,0.1654644820937697,4.057755551279205,6829,5
high_noise,7,corr_cluster,0.1875904026481028,1.6531835855608348,6829,5
high_noise,7,sugeno,0.1490368533443042,1.218473980450997,6829,5
high_noise,101,Choquet(ours),0.12772729090747992,1.1177587845967114,6843,5
high_noise,101,naive_mean,0.13668902866563465,1.201030098311415,6843,5
high_noise,101,rel_wtd_mean,0.13289146038875962,1.1712027864729146,6843,5
high_noise,101,median,0.16135744205284522,5.2980809037565475,6843,5
high_noise,101,dempster_shafer,0.17632149113558526,8.54587727640738,6843,5
high_noise,101,corr_cluster,0.147147371870989,1.2918652422451204,6843,5
high_noise,101,sugeno,0.11639072346868123,1.018048913290027,6843,5
high_noise,11,Choquet(ours),0.14204351187545203,1.169489026970928,6830,5
high_noise,11,naive_mean,0.13819906393663545,1.2010335724246675,6830,5
high_noise,11,rel_wtd_mean,0.13974104585348018,1.1909379687962973,6830,5
high_noise,11,median,0.13787351391831276,4.085443408761038,6830,5
high_noise,11,dempster_shafer,0.16791769978469323,8.413694128369972,6830,5
high_noise,11,corr_cluster,0.13775119077935316,1.2321078730294042,6830,5
high_noise,11,sugeno,0.15401890326962767,1.1530531097857406,6830,5
high_noise,23,Choquet(ours),0.13756867946261264,1.1464827565420996,6861,5
high_noise,23,naive_mean,0.14693768167274432,1.2421669530417863,6861,5
high_noise,23,rel_wtd_mean,0.14093042745214376,1.1933811437092103,6861,5
high_noise,23,median,0.1670442250366191,5.794381304142774,6861,5
high_noise,23,dempster_shafer,0.16912571783003388,8.236195261408257,6861,5
high_noise,23,corr_cluster,0.15919838027361846,1.3418483645981316,6861,5
high_noise,23,sugeno,0.13057660714005734,1.0454740604975319,6861,5
high_noise,47,Choquet(ours),0.13634326937341323,1.118607019480859,6867,5
high_noise,47,naive_mean,0.136356878416263,1.1671508413391285,6867,5
high_noise,47,rel_wtd_mean,0.13704620172284246,1.1572923414645877,6867,5
high_noise,47,median,0.14416637893860854,3.8042035758044586,6867,5
high_noise,47,dempster_shafer,0.16678339049491753,4.551179353483711,6867,5
high_noise,47,corr_cluster,0.1391616477701341,1.2210905163233072,6867,5
high_noise,47,sugeno,0.1413549631721793,1.0622370890802495,6867,5
high_noise,89,Choquet(ours),0.07322398678581649,0.9113246841411454,6852,5
high_noise,89,naive_mean,0.0685783768981909,0.903116098804725,6852,5
high_noise,89,rel_wtd_mean,0.07360345264059809,0.9148716158116863,6852,5
high_noise,89,median,0.07734282186307805,2.4282704684075274,6852,5
high_noise,89,dempster_shafer,0.16156805467577826,3.0557405815896157,6852,5
high_noise,89,corr_cluster,0.06248353144285028,0.8948573772812236,6852,5
high_noise,89,sugeno,0.08176118304751671,0.9283787984136042,6852,5
high_noise,137,Choquet(ours),0.11912989056556529,0.7813663230577492,6840,5
high_noise,137,naive_mean,0.1237569314215129,0.8299581816932711,6840,5
high_noise,137,rel_wtd_mean,0.12149349791726295,0.8145103726410156,6840,5
high_noise,137,median,0.13604316117674092,3.343167963648979,6840,5
high_noise,137,dempster_shafer,0.16847533844546914,8.179569052737445,6840,5
high_noise,137,corr_cluster,0.1292917042740753,0.8569535171574055,6840,5
high_noise,137,sugeno,0.11496057643313327,0.7215796544519174,6840,5
high_noise,199,Choquet(ours),0.09662001986404709,0.9206694384903638,6846,5
high_noise,199,naive_mean,0.09112650499759054,0.915262296722093,6846,5
